,coSymbol,id
629,فاهواز,i44296315953738727
631,فپنتا,i68488673556087148
633,فنورد,i56324206651661881
635,فلوله,i48623320733330408
637,فروس,i54419429862704331
639,فسپا,i8977441217024425
642,فوکا,i66514709341259550
644,فسدید,i20966291817819448
646,فجر,i41302553376174581
648,وتوکا,i47232550823972469
650,وسدید,i41713045190742691
652,فولاد,i46348559193224090
654,فخوز,i28864540805361867
656,فخاس,i4733285133017464
658,فولاژ,i40808043719554948
660,کاوه,i60350996279289099
662,فسازان,i12874072841236826
664,کویر,i43545527030854340
672,فولای,i14800142337291217
674,هرمز,i70498485598181604
676,ارفع,i59266699437480384
685,فماک,i35445515321658835
688,فافزا,i66021783818850713
